pdf_file,page,annot_type,rect_x0,rect_y0,rect_x1,rect_y1,contents,info_title,info_subject,info_content
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",253.0,258.0,264.0,272.0,,AutoCAD SHX Text,,77
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",221.0,262.0,232.0,276.0,,AutoCAD SHX Text,,75
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",273.0,256.0,284.0,270.0,,AutoCAD SHX Text,,76
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",337.0,775.0,348.0,787.0,,AutoCAD SHX Text,,31
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",353.0,725.0,364.0,739.0,,AutoCAD SHX Text,,36
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",316.0,747.0,327.0,762.0,,AutoCAD SHX Text,,37
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",393.0,684.0,404.0,698.0,,AutoCAD SHX Text,,45
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",369.0,654.0,380.0,668.0,,AutoCAD SHX Text,,48
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",302.0,680.0,313.0,692.0,,AutoCAD SHX Text,,51
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",310.0,578.0,321.0,593.0,,AutoCAD SHX Text,,57
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",230.0,532.0,241.0,551.0,,AutoCAD SHX Text,,65.1
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",272.0,521.0,283.0,543.0,,AutoCAD SHX Text,,65.2
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",250.0,520.0,260.0,539.0,,AutoCAD SHX Text,,65.25
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",200.0,518.0,211.0,539.0,,AutoCAD SHX Text,,65.3
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",231.0,477.0,240.0,496.0,,AutoCAD SHX Text,,68.05
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",192.0,481.0,203.0,500.0,,AutoCAD SHX Text,,68.1
