swmm_conduit_id,excel_pipe_id,upstream_node,downstream_node,diameter_in,shape,length_ft,slope_ftft,invert_in_ft,invert_out_ft,losses,confidence,inferred_flag,notes
C238,,J161,J162,36.0,CIRCULAR,434.0,0.0008678671431666975,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C239,,J160,J161,30.0,CIRCULAR,937.0,0.002050701509638758,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C240,,J159,J160,30.0,CIRCULAR,207.0,0.00200863465166352,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C241,,J159,J159,30.0,CIRCULAR,665.0,0.0017610003084189113,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C242,,J158,J159,30.0,CIRCULAR,577.0,0.000757801998520646,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C243,,J157,J158,24.0,CIRCULAR,99.0,0.00021814042124197424,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C244,,J183,J184,18.0,CIRCULAR,180.0,0.0009245770476395405,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C245,,J181,J182,24.0,CIRCULAR,1162.0,0.0004916461257699384,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C246,,J179,J180,24.0,CIRCULAR,245.0,0.0008424776553020031,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C247,,J185,OUT1,18.0,CIRCULAR,200.0,1.5718121836518634e-05,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C248,,J186,OUT1,8.0,CIRCULAR,133.0,0.00010136766943077386,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C249,,J187,OUT1,8.0,CIRCULAR,185.0,4.3889787306966745e-05,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
