source_row_hydraulics,upstream_junction_id,downstream_junction_id,canonical_upstream_junction_id,canonical_downstream_junction_id,upstream_system_id,downstream_system_id,crosses_basin_boundary
298,102.4,103.3,J_102_4,J_103_3,2.0,2.0,False
300,102.3,102.4,J_102_3,J_102_4,2.0,2.0,False
302,102.1,102.3,J_102_1,J_102_3,2.0,2.0,False
304,102,102.1,J_102,J_102_1,2.0,2.0,False
308,103.2,103.3,J_103_2,J_103_3,2.0,2.0,False
310,103,103.2,J_103,J_103_2,2.0,2.0,False
313,103.1,103.2,J_103_1,J_103_2,2.0,2.0,False
316,103.5,104,J_103_5,J_104,2.0,2.0,False
319,106,107,J_106,J_107,2.0,2.0,False
321,105.4,106,J_105_4,J_106,2.0,2.0,False
325,105.1,105.4,J_105_1,J_105_4,2.0,2.0,False
327,105,105.1,J_105,J_105_1,2.0,2.0,False
330,105.3,105.4,J_105_3,J_105_4,2.0,2.0,False
333,105.2,105.4,J_105_2,J_105_4,2.0,2.0,False
336,108.3,108.4,J_108_3,J_108_4,2.0,2.0,False
338,108.2,108.3,J_108_2,J_108_3,2.0,2.0,False
341,108.1,108.4,J_108_1,J_108_4,2.0,2.0,False
343,108,108.1,J_108,J_108_1,2.0,2.0,False
346,109.2,110,J_109_2,J_110,2.0,2.0,False
348,109.1,109.2,J_109_1,J_109_2,2.0,2.0,False
351,109,109.1,J_109,J_109_1,2.0,2.0,False
354,110.1,110.2,J_110_1,J_110_2,2.0,2.0,False
358,115,117,J_115,J_117,2.0,2.0,False
360,113.2,115,J_113_2,J_115,2.0,2.0,False
362,113.1,113.2,J_113_1,J_113_2,2.0,2.0,False
364,113,113.1,J_113,J_113_1,2.0,2.0,False
366,112,113,J_112,J_113,2.0,2.0,False
370,114.2,115,J_114_2,J_115,2.0,2.0,False
372,114.1,114.2,J_114_1,J_114_2,2.0,2.0,False
375,114,115,J_114,J_115,2.0,2.0,False
380,116,117,J_116,J_117,2.0,2.0,False
383,118,119,J_118,J_119,2.0,2.0,False
386,120,121,J_120,J_121,2.0,2.0,False
389,129,130,J_129,J_130,2.0,2.0,False
391,128,129,J_128,J_129,2.0,2.0,False
395,127,128,J_127,J_128,2.0,2.0,False
401,124,127,J_124,J_127,2.0,2.0,False
404,123,124,J_123,J_124,2.0,2.0,False
408,122,123,J_122,J_123,2.0,2.0,False
411,126,127,J_126,J_127,2.0,2.0,False
413,125,126,J_125,J_126,2.0,2.0,False
416,100,132,J_100,J_132,2.0,2.0,False
418,98,100,J_98,J_100,2.0,2.0,False
420,96,98,J_96,J_98,2.0,2.0,False
425,95.4,96,J_95_4,J_96,2.0,2.0,False
428,95,95.4,J_95,J_95_4,2.0,2.0,False
433,89,95,J_89,J_95,2.0,2.0,False
435,88.1,89,J_88_1,J_89,2.0,2.0,False
437,83.1,88.1,J_83_1,J_88_1,2.0,2.0,False
440,83,83.1,J_83,J_83_1,2.0,2.0,False
442,82,83,J_82,J_83,2.0,2.0,False
444,81.1,82,J_81_1,J_82,2.0,2.0,False
446,81,81.1,J_81,J_81_1,2.0,2.0,False
448,80,81,J_80,J_81,2.0,2.0,False
450,78.1,80,J_78_1,J_80,2.0,2.0,False
453,78,78.1,J_78,J_78_1,2.0,2.0,False
456,97.1,98,J_97_1,J_98,2.0,2.0,False
458,97,97.1,J_97,J_97_1,2.0,2.0,False
460,96.1,97,J_96_1,J_97,2.0,2.0,False
465,79,80,J_79,J_80,2.0,2.0,False
467,88,88.1,J_88,J_88_1,2.0,2.0,False
470,87,88.1,J_87,J_88_1,2.0,2.0,False
472,85,87,J_85,J_87,2.0,2.0,False
474,84,85,J_84,J_85,2.0,2.0,False
477,86.1,87,J_86_1,J_87,,2.0,False
479,86,86.1,J_86,J_86_1,2.0,,False
482,99,100,J_99,J_100,2.0,2.0,False
485,97,98,J_97,J_98,2.0,2.0,False
488,95.3,95.4,J_95_3,J_95_4,2.0,2.0,False
490,95.2,95.3,J_95_2,J_95_3,2.0,2.0,False
492,95.15,95.2,J_95_15,J_95_2,2.0,2.0,False
494,95.1,95.15,J_95_1,J_95_15,2.0,2.0,False
497,94.4,95,J_94_4,J_95,2.0,2.0,False
499,94.1,94.4,J_94_1,J_94_4,2.0,2.0,False
501,94,94.1,J_94,J_94_1,2.0,2.0,False
503,93,94,J_93,J_94,2.0,2.0,False
505,92,93,J_92,J_93,2.0,2.0,False
507,90.1,92,J_90_1,J_92,2.0,2.0,False
511,90,90.1,J_90,J_90_1,2.0,2.0,False
514,91,92,J_91,J_92,2.0,2.0,False
520,135,0,J_135,J_0,4.0,,False
524,156,0,J_156,J_0,5.0,,False
527,155,156,J_155,J_156,5.0,5.0,False
531,154,155,J_154,J_155,5.0,5.0,False
534,153.1,154,J_153_1,J_154,5.0,5.0,False
536,145,153.1,J_145,J_153_1,5.0,5.0,False
541,143,145,J_143,J_145,5.0,5.0,False
545,141,143,J_141,J_143,5.0,5.0,False
548,138,141,J_138,J_141,5.0,5.0,False
550,137,138,J_137,J_138,5.0,5.0,False
552,136.5,137,J_136_5,J_137,5.0,5.0,False
555,136.4,136.5,J_136_4,J_136_5,5.0,5.0,False
558,136,136.4,J_136,J_136_4,5.0,5.0,False
561,136.3,136.4,J_136_3,J_136_4,5.0,5.0,False
563,136.2,136.3,J_136_2,J_136_3,5.0,5.0,False
565,136.1,136.2,J_136_1,J_136_2,5.0,5.0,False
569,140,141,J_140,J_141,5.0,5.0,False
572,139,140,J_139,J_140,5.0,5.0,False
575,142,143,J_142,J_143,5.0,5.0,False
578,144,145,J_144,J_145,5.0,5.0,False
581,153,153.1,J_153,J_153_1,5.0,5.0,False
585,152,153,J_152,J_153,5.0,5.0,False
588,151,153.1,J_151,J_153_1,5.0,5.0,False
590,150,151,J_150,J_151,5.0,5.0,False
592,149,150,J_149,J_150,5.0,5.0,False
597,147,149,J_147,J_149,5.0,5.0,False
599,146,147,J_146,J_147,5.0,5.0,False
602,148,149,J_148,J_149,5.0,5.0,False
605,184,0,J_184,J_0,6.0,,False
609,182.1,184,J_182_1,J_184,6.0,6.0,False
611,180.1,182.1,J_180_1,J_182_1,6.0,6.0,False
613,178,180.1,J_178,J_180_1,6.0,6.0,False
615,176,178,J_176,J_178,6.0,6.0,False
617,173,176,J_173,J_176,6.0,6.0,False
619,169,173,J_169,J_173,6.0,6.0,False
622,168,169,J_168,J_169,6.0,6.0,False
625,167,168,J_167,J_168,6.0,6.0,False
628,166,168,J_166,J_168,6.0,6.0,False
631,172,173,J_172,J_173,6.0,6.0,False
633,171,172,J_171,J_172,6.0,6.0,False
635,170,171,J_170,J_171,6.0,6.0,False
638,174,176,J_174,J_176,6.0,6.0,False
640,159.2,174,J_159_2,J_174,6.0,6.0,False
643,182.2,0,J_182_2,J_0,6.0,,False
648,180.2,182.2,J_180_2,J_182_2,6.0,6.0,False
650,165,180.2,J_165,J_180_2,6.0,6.0,False
653,162,165,J_162,J_165,6.0,6.0,False
655,161,162,J_161,J_162,6.0,6.0,False
658,160,161,J_160,J_161,6.0,6.0,False
662,159.1,160,J_159_1,J_160,6.0,6.0,False
664,159,159.1,J_159,J_159_1,6.0,6.0,False
666,158,159,J_158,J_159,6.0,6.0,False
668,157,158,J_157,J_158,6.0,6.0,False
671,183,184,J_183,J_184,6.0,6.0,False
674,181,182.2,J_181,J_182_2,6.0,6.0,False
678,179,180.2,J_179,J_180_2,6.0,6.0,False
681,185,0,J_185,J_0,7.0,,False
684,186,0,J_186,J_0,8.0,,False
687,187,0,J_187,J_0,9.0,,False
source_row_hydraulics,upstream_junction_id,downstream_junction_id,upstream_system_id,downstream_system_id,crosses_basin_boundary
11,77,0,1.0,,False
14,75,77,1.0,1.0,False
17,74,75,1.0,1.0,False
20,72,74,1.0,1.0,False
22,71.9,72,1.0,1.0,False
24,71.1,71.9,1.0,1.0,False
26,71,71.1,1.0,1.0,False
28,69,71,1.0,1.0,False
30,65.3,69,1.0,1.0,False
32,65.1,65.3,1.0,1.0,False
34,65,65.1,1.0,1.0,False
38,63,65,1.0,1.0,False
40,62,63,1.0,1.0,False
42,57,62,1.0,1.0,False
44,54,57,1.0,1.0,False
46,53,54,1.0,1.0,False
48,51,53,1.0,1.0,False
50,42,51,1.0,1.0,False
52,39,42,1.0,1.0,False
54,37,39,1.0,1.0,False
56,35,37,1.0,1.0,False
58,31,35,1.0,1.0,False
60,29,31,1.0,1.0,False
62,15,29,1.0,1.0,False
64,11,15,1.0,1.0,False
66,9,11,1.0,1.0,False
68,7.1,9,1.0,1.0,False
70,6.1,7.1,1.0,1.0,False
72,6,6.1,1.0,1.0,False
74,3,6,1.0,1.0,False
77,2,3,1.0,1.0,False
80,1,2,1.0,1.0,False
83,5,6,1.0,1.0,False
86,4,5,1.0,1.0,False
91,7,7.1,1.0,1.0,False
94,8,9,1.0,1.0,False
97,13,15,1.0,1.0,False
99,12,13,1.0,1.0,False
102,14,15,1.0,1.0,False
105,26,29,1.0,1.0,False
107,25,26,1.0,1.0,False
109,23,25,1.0,1.0,False
111,21,23,1.0,1.0,False
113,20,21,1.0,1.0,False
115,18,20,1.0,1.0,False
117,16,18,1.0,1.0,False
120,17,18,1.0,1.0,False
123,19,20,1.0,1.0,False
126,22,23,1.0,1.0,False
129,24,25,1.0,1.0,False
132,28,29,1.0,1.0,False
134,27.1,28,1.0,1.0,False
136,27,27.1,1.0,1.0,False
140,30,31,1.0,1.0,False
143,34,35,1.0,1.0,False
147,32,34,1.0,1.0,False
150,33,34,1.0,1.0,False
153,36,37,1.0,1.0,False
156,38,39,1.0,1.0,False
159,41,42,1.0,1.0,False
161,40,41,1.0,1.0,False
164,50,51,1.0,1.0,False
167,49,51,1.0,1.0,False
169,48,49,1.0,1.0,False
171,46,48,1.0,1.0,False
173,45,46,1.0,1.0,False
175,44,45,1.0,1.0,False
178,43,44,1.0,1.0,False
181,47,48,1.0,1.0,False
184,50,51,1.0,1.0,False
187,52,53,1.0,1.0,False
190,55,57,1.0,1.0,False
193,61,62,1.0,1.0,False
197,65.25,65.3,1.0,1.0,False
199,65.2,65.25,1.0,1.0,False
202,68.05,69,1.0,1.0,False
204,68,68.05,1.0,1.0,False
207,68.1,69,1.0,1.0,False
210,70.4,71,1.0,1.0,False
212,70.3,70.4,1.0,1.0,False
214,70.2,70.3,1.0,1.0,False
216,70,70.2,1.0,1.0,False
219,70.1,70.2,1.0,1.0,False
222,71.8,71.9,1.0,1.0,False
226,71.7,71.8,1.0,1.0,False
228,71.4,71.7,1.0,1.0,False
233,71.3,71.4,1.0,1.0,False
236,71.2,71.4,1.0,1.0,False
239,71.6,71.7,1.0,1.0,False
242,71.5,71.6,1.0,1.0,False
247,76,77,1.0,1.0,False
250,134,0,2.0,,False
252,133,134,2.0,2.0,False
254,132,133,2.0,2.0,False
256,131,132,2.0,2.0,False
258,130,131,2.0,2.0,False
260,121,130,2.0,2.0,False
262,119,121,2.0,2.0,False
264,117,119,2.0,2.0,False
266,111,117,2.0,2.0,False
268,110.3,111,2.0,2.0,False
270,110.2,110.3,2.0,2.0,False
272,110,110.2,2.0,2.0,False
274,108.4,110,2.0,2.0,False
276,107,108.4,2.0,2.0,False
278,101.1,107,2.0,2.0,False
286,101,101.1,2.0,2.0,False
290,104,107,2.0,2.0,False
292,103.4,104,2.0,2.0,False
295,103.3,103.4,2.0,2.0,False
298,102.4,103.3,2.0,2.0,False
300,102.3,102.4,2.0,2.0,False
302,102.1,102.3,2.0,2.0,False
304,102,102.1,2.0,2.0,False
308,103.2,103.3,2.0,2.0,False
310,103,103.2,2.0,2.0,False
313,103.1,103.2,2.0,2.0,False
316,103.5,104,2.0,2.0,False
319,106,107,2.0,2.0,False
321,105.4,106,2.0,2.0,False
325,105.1,105.4,2.0,2.0,False
327,105,105.1,2.0,2.0,False
330,105.3,105.4,2.0,2.0,False
333,105.2,105.4,2.0,2.0,False
336,108.3,108.4,2.0,2.0,False
338,108.2,108.3,2.0,2.0,False
341,108.1,108.4,2.0,2.0,False
343,108,108.1,2.0,2.0,False
346,109.2,110,2.0,2.0,False
348,109.1,109.2,2.0,2.0,False
351,109,109.1,2.0,2.0,False
354,110.1,110.2,2.0,2.0,False
358,115,117,2.0,2.0,False
360,113.2,115,2.0,2.0,False
362,113.1,113.2,2.0,2.0,False
364,113,113.1,2.0,2.0,False
366,112,113,2.0,2.0,False
370,114.2,115,2.0,2.0,False
372,114.1,114.2,2.0,2.0,False
375,114,115,2.0,2.0,False
380,116,117,2.0,2.0,False
383,118,119,2.0,2.0,False
386,120,121,2.0,2.0,False
389,129,130,2.0,2.0,False
391,128,129,2.0,2.0,False
395,127,128,2.0,2.0,False
401,124,127,2.0,2.0,False
404,123,124,2.0,2.0,False
408,122,123,2.0,2.0,False
411,126,127,2.0,2.0,False
413,125,126,2.0,2.0,False
416,100,132,2.0,2.0,False
418,98,100,2.0,2.0,False
420,96,98,2.0,2.0,False
425,95.4,96,2.0,2.0,False
428,95,95.4,2.0,2.0,False
433,89,95,2.0,2.0,False
435,88.1,89,2.0,2.0,False
437,83.1,88.1,2.0,2.0,False
440,83,83.1,2.0,2.0,False
442,82,83,2.0,2.0,False
444,81.1,82,2.0,2.0,False
446,81,81.1,2.0,2.0,False
448,80,81,2.0,2.0,False
450,78.1,80,2.0,2.0,False
453,78,78.1,2.0,2.0,False
456,97.1,98,2.0,2.0,False
458,97,97.1,2.0,2.0,False
460,96.1,97,2.0,2.0,False
465,79,80,2.0,2.0,False
467,88,88.1,2.0,2.0,False
470,87,88.1,2.0,2.0,False
472,85,87,2.0,2.0,False
474,84,85,2.0,2.0,False
477,86.1,87,,2.0,False
479,86,86.1,2.0,,False
482,99,100,2.0,2.0,False
485,97,98,2.0,2.0,False
488,95.3,95.4,2.0,2.0,False
490,95.2,95.3,2.0,2.0,False
492,95.15,95.2,2.0,2.0,False
494,95.1,95.15,2.0,2.0,False
497,94.4,95,2.0,2.0,False
499,94.1,94.4,2.0,2.0,False
501,94,94.1,2.0,2.0,False
503,93,94,2.0,2.0,False
505,92,93,2.0,2.0,False
507,90.1,92,2.0,2.0,False
511,90,90.1,2.0,2.0,False
514,91,92,2.0,2.0,False
520,135,0,4.0,,False
524,156,0,5.0,,False
527,155,156,5.0,5.0,False
531,154,155,5.0,5.0,False
534,153.1,154,5.0,5.0,False
536,145,153.1,5.0,5.0,False
541,143,145,5.0,5.0,False
545,141,143,5.0,5.0,False
548,138,141,5.0,5.0,False
550,137,138,5.0,5.0,False
552,136.5,137,5.0,5.0,False
555,136.4,136.5,5.0,5.0,False
558,136,136.4,5.0,5.0,False
561,136.3,136.4,5.0,5.0,False
563,136.2,136.3,5.0,5.0,False
565,136.1,136.2,5.0,5.0,False
569,140,141,5.0,5.0,False
572,139,140,5.0,5.0,False
575,142,143,5.0,5.0,False
578,144,145,5.0,5.0,False
581,153,153.1,5.0,5.0,False
585,152,153,5.0,5.0,False
588,151,153.1,5.0,5.0,False
590,150,151,5.0,5.0,False
592,149,150,5.0,5.0,False
597,147,149,5.0,5.0,False
599,146,147,5.0,5.0,False
602,148,149,5.0,5.0,False
605,184,0,6.0,,False
609,182.1,184,6.0,6.0,False
611,180.1,182.1,6.0,6.0,False
613,178,180.1,6.0,6.0,False
615,176,178,6.0,6.0,False
617,173,176,6.0,6.0,False
619,169,173,6.0,6.0,False
622,168,169,6.0,6.0,False
625,167,168,6.0,6.0,False
628,166,168,6.0,6.0,False
631,172,173,6.0,6.0,False
633,171,172,6.0,6.0,False
635,170,171,6.0,6.0,False
638,174,176,6.0,6.0,False
640,159.2,174,6.0,6.0,False
643,182.2,0,6.0,,False
648,180.2,182.2,6.0,6.0,False
650,165,180.2,6.0,6.0,False
653,162,165,6.0,6.0,False
655,161,162,6.0,6.0,False
658,160,161,6.0,6.0,False
662,159.1,160,6.0,6.0,False
664,159,159.1,6.0,6.0,False
666,158,159,6.0,6.0,False
668,157,158,6.0,6.0,False
671,183,184,6.0,6.0,False
674,181,182.2,6.0,6.0,False
678,179,180.2,6.0,6.0,False
681,185,0,7.0,,False
684,186,0,8.0,,False
687,187,0,9.0,,False
