"""c""",(cfs),(fps),(ft),(ft_ft),(in),0.003042372881355911,0.5082000000000001,1180,20,32.108971468560014,4.5276000000000005,4.980360000000001,424.23,427.7,8,"8_mhd-r_1.1c=0.462_9.8_(t5613,_upper_half)",9.8,area,b_p,base,base_ca,board,col_1,col_10,col_11,col_12,col_14,col_15,col_16,col_17,col_18,col_2,col_23,col_3,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_4,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_5,col_6,col_7,col_8,col_9,delta_fb,description,dia,dist.,dn_strm,egl_elev.,elev,f_s,freebrd,hgl,hgl_elev.,hl,i,inlet,jct,jct_area,keystroke,length,location,loss,losses,macro_or_dialog_box,mca,modules,name,q,r_g,slope,soffit_elev.,source_row,source_sheet,stream_jct,t56013,t_c,t_p,t_t,tc,type,userforms,vel,worksheet_formulas
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Inlets that had elevation and/or length attributes changed.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,312,DI TABLE,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Font,nan,Revised Inlet boundaries and elevations- From Gis Posting Check 9/13/2019 by YP.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,315,DI TABLE,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Co. SPR 7969 Edits,nan,nan,Tract 5613 inlets ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,317,DI TABLE,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Vista Ranch_07-01-2024,nan,nan,Tract 6039 inlets,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,318,DI TABLE,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan, , ,0.0540603990163781, , ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, ,nan,nan,nan,nan, ,nan,nan,nan,nan,nan, ,nan,nan,nan,nan,nan,nan,nan,nan,nan, ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, , ,nan,nan,nan, ,nan,nan,nan,nan,nan,nan,nan,nan, , ,nan,nan,nan,nan,nan,nan,nan, ,176,HYDRAULICS, ,nan,nan,nan,nan,nan,INLET JUNCTION,nan,nan,nan
nan,6.716603430947452,3.800811154088477,0.2243193389603009,0.004088462129171167,18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.36208799192525,nan,nan,nan,nan, ,nan,nan,nan,nan,nan, ,nan,nan,nan,nan,nan,nan,nan,nan,nan, ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,394.5822313470351,399.22,nan,nan,nan,394.3579120080748,nan,nan,nan,nan,nan,nan,nan,nan,1.575938327352251,0.06729580168809028,nan,nan,nan,nan,nan,nan,nan, ,197,HYDRAULICS,65.25,nan,nan,nan,nan,nan,INLET JUNCTION,nan,nan,nan
nan,5.1213516096283485,2.8980853971809686,0.1304176858595275,0.002377003124573157,18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.161381821463351,nan,nan,nan,nan, ,nan,nan,nan,nan,nan, ,nan,nan,nan,nan,nan,nan,nan,nan,nan, ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,390.9690358643962,397.5,nan,nan,nan,390.83861817853665,nan,nan,nan,nan,nan,nan,nan,nan,0.3362506963295029,0.039125305757858254,nan,nan,nan,nan,nan,nan,nan,388.25,212,HYDRAULICS,70.3,nan,nan,nan,nan,nan,INLET JUNCTION,nan,nan,nan
nan,5.876085949979844,3.325176668635851,0.1716894390937921,0.0031292253845212887,18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.430924722672046,nan,nan,nan,nan, ,nan,nan,nan,nan,nan, ,nan,nan,nan,nan,nan,nan,nan,nan,nan, ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,388.2407647164217,395,nan,nan,nan,388.06907527732795,nan,nan,nan,nan,nan,nan,nan,nan,0.6129938097222696,0.13735155127503373,nan,nan,nan,nan,nan,nan,nan,384.96,222,HYDRAULICS,71.8,nan,nan,nan,nan,nan,INLET JUNCTION,nan,nan,nan
nan,56.450259544733065,4.4921584180619005,0.31334607535659,0.0015443979364834386,48,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.37,nan,nan,nan,nan, ,nan,nan,nan,nan,nan, ,nan,nan,nan,nan,nan,nan,nan,nan,nan, ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-3.013068310432056,nan,nan,nan,nan,391.35641438578864,396.9,nan,nan,nan,391.04306831043203,nan,nan,nan,nan,nan,nan,nan,nan,0.2607987997471884,0.094003822606977,nan,nan,nan,nan,nan,nan,nan,386.19,266,HYDRAULICS,111,nan,nan,nan,nan,nan,INLET JUNCTION,nan,nan,nan
nan, , ,0.1160834434731893, , ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, ,nan,nan,nan,nan,nan, ,nan,nan,nan,nan,nan,nan,nan,nan,nan, ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, , ,nan,nan,nan, ,nan,nan,nan,nan,nan,nan,nan,nan, , ,nan,nan,nan,nan,nan,nan,nan, ,284,HYDRAULICS, ,nan,nan,nan,nan,nan,INLET JUNCTION,nan,nan,nan
nan,20.531334181428225,2.9045828284848803,0.131003127446106,0.0009475488284501343,36,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, ,nan,nan,nan,nan,nan, ,nan,nan,nan,nan,nan,nan,nan,nan,nan, ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,393.91748569310346,400.27,nan,nan,nan,393.78648256565737,nan,nan,nan,nan,nan,nan,nan,nan,0.14637395584869697,0.0393009382338318,nan,nan,nan,nan,nan,nan,nan, ,292,HYDRAULICS,103.4,nan,nan,nan,nan,nan,INLET JUNCTION,nan,nan,nan
nan,5.949160189960987,1.8936720747265685,0.0556831355061991,0.0006915633398150015,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, ,nan,nan,nan,nan,nan, ,nan,nan,nan,nan,nan,nan,nan,nan,nan, ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,394.4490690636182,403,nan,nan,nan,394.393385928112,nan,nan,nan,nan,nan,nan,nan,nan,0.2345473926935852,0.016704940651859748,nan,nan,nan,nan,nan,nan,nan, ,298,HYDRAULICS,102.4,nan,nan,nan,nan,nan,INLET JUNCTION,nan,nan,nan
nan,5.178541085792481,1.6483769689942962,0.042191717886814,0.000524005070280014,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, ,nan,nan,nan,nan,nan, ,nan,nan,nan,nan,nan,nan,nan,nan,nan, ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,394.81079249706056,402.4,nan,nan,nan,394.76860077917377,nan,nan,nan,nan,nan,nan,nan,nan,0.03256970803668474,0.012657515366044205,nan,nan,nan,nan,nan,nan,nan, ,302,HYDRAULICS,102.1,nan,nan,nan,nan,nan,INLET JUNCTION,nan,nan,nan
nan,13.211349823296358,2.69138779186073,0.1124777677977791,0.0010374367274563823,30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, ,nan,nan,nan,nan,nan, ,nan,nan,nan,nan,nan,nan,nan,nan,nan, ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,393.7368345586037,400.41,nan,nan,nan,393.6243567908059,nan,nan,nan,nan,nan,nan,nan,nan,0.6064084038952567,0.03374333033933374,nan,nan,nan,nan,nan,nan,nan, ,319,HYDRAULICS,106,nan,nan,nan,nan,nan,INLET JUNCTION,nan,nan,nan
