"""c""",area,b_p,base,base_ca,col_1,col_10,col_11,col_12,col_14,col_15,col_16,col_2,col_3,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_5,col_6,col_7,col_8,col_9,description,dia,dist.,dn_strm,downstream_node,extraction_method,f_s,freebrd,headloss,hgl,hl,i,inlet,jct,jct_area,junction_type,keystroke,length,location,macro_or_dialog_box,mca,modules,name,pipe_id,q,r_g,slope,source_row,source_sheet,t_c,t_p,t_t,tc,upstream_node,userforms,vel,worksheet_formulas
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.0,nan,nan,39.0,hydraulics_structured_table,nan,nan,0.5188996280302294,nan,nan,nan,nan,nan,nan,nan,nan,156.0,nan,nan,nan,nan,nan,37-39,38.4676585907899,nan,0.0033262796668604446,54,HYDRAULICS,nan,nan,nan,nan,37.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.0,nan,nan,37.0,hydraulics_structured_table,nan,nan,1.4580122516891114,nan,nan,nan,nan,nan,nan,nan,nan,439.0,nan,nan,nan,nan,nan,35-37,38.43834664229783,nan,0.0033212124184262217,56,HYDRAULICS,nan,nan,nan,nan,35.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.0,nan,nan,35.0,hydraulics_structured_table,nan,nan,0.3880477518107492,nan,nan,nan,nan,nan,nan,nan,nan,131.0,nan,nan,nan,nan,nan,31-35,36.30139465516372,nan,0.0029621965787080093,58,HYDRAULICS,nan,nan,nan,nan,31.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.0,nan,nan,31.0,hydraulics_structured_table,nan,nan,1.4774276906034522,nan,nan,nan,nan,nan,nan,SIDE BRANCH JCT,nan,512.0,nan,nan,nan,nan,nan,29-31,35.828985328174774,nan,0.0028856009582098677,60,HYDRAULICS,nan,nan,nan,nan,29.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.0,nan,nan,29.0,hydraulics_structured_table,nan,nan,0.547291946293415,nan,nan,nan,nan,nan,nan,SIDE BRANCH JCT,nan,630.0,nan,nan,nan,nan,nan,15-29,19.65873762199385,nan,0.0008687173750689127,62,HYDRAULICS,nan,nan,nan,nan,15.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,nan,15.0,hydraulics_structured_table,nan,nan,0.0971685756899561,nan,nan,nan,nan,nan,nan,SIDE BRANCH JCT,nan,50.0,nan,nan,nan,nan,nan,11-15,18.081909830491604,nan,0.0019433715137991228,64,HYDRAULICS,nan,nan,nan,nan,11.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,nan,11.0,hydraulics_structured_table,nan,nan,1.275423222847213,nan,nan,nan,nan,nan,nan,SIDE BRANCH JCT,nan,683.0,nan,nan,nan,nan,nan,9-11,17.724875414984634,nan,0.001867383928033987,66,HYDRAULICS,nan,nan,nan,nan,9.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,nan,9.0,hydraulics_structured_table,nan,nan,0.0504409435392808,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,nan,nan,nan,nan,7.1-9,16.818891019537716,nan,0.0016813647846426936,68,HYDRAULICS,nan,nan,nan,nan,7.1,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,nan,7.1,hydraulics_structured_table,nan,nan,0.0496036896012707,nan,nan,nan,nan,nan,nan,nan,nan,32.0,nan,nan,nan,nan,nan,6.1-7.1,16.149102252582,nan,0.0015501153000397107,70,HYDRAULICS,nan,nan,nan,nan,6.1,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,nan,6.1,hydraulics_structured_table,nan,nan,0.8692009203723262,nan,nan,nan,nan,nan,nan,RIGHT ANGLE JCT,nan,606.0,nan,nan,nan,nan,nan,6-6.1,15.534245330397477,nan,0.0014343249511094493,72,HYDRAULICS,nan,nan,nan,nan,6.0,nan,nan,nan
